trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-161.6057923107144,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,13,-95.81069036599331,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-135.00383615976656,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-211.71060475262584,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-92.20462230628542,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-67.04624269188753,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-88.09938022553109,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-92.63678330597328,"{0: 15, 1: 0, 2: 1, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,7,-48.14086572161482,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-206.23167121509354,"{0: 17, 1: 0, 2: 2, 3: 2, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-106.4259680344085,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-135.69764910002186,"{0: 18, 1: 0, 2: 2, 3: 3, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,6,-31.50579883369713,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,24,10.540090362385554,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-117.03646760137237,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,10,-28.67787022755826,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-61.85137571582254,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-103.58331733441602,"{0: 25, 1: 0, 2: 1, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-59.59250106796699,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,11,-25.11781047103235,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,12,-66.02563921088469,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",25,0,-102.6702362605511,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,0,-28.745751360603492,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-86.48553053018769,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,16,11.442597478752596,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-228.43113343084883,"{0: 11, 1: 0, 2: 2, 3: 3, 4: 4}",0
7,True,"{'a': 0, 'e': 0}",20,15,-5.430574294001013,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-148.19719307889204,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",25,0,28.1328458232361,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,25.129181896700373,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
