trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.9954}",20,0,-61.26043770054053,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.2, 'e': 0.9907999999999999}",20,0,-73.14762184310857,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.9861999999999999}",25,0,-88.45078557605406,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.9815999999999998}",20,0,-71.41415156657229,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.2, 'e': 0.9769999999999998}",30,6,-107.88816254858493,"{0: 16, 1: 2, 2: 2, 3: 3, 4: 1}",1
6,False,"{'a': 0.2, 'e': 0.9723999999999997}",25,0,-149.50647829290963,"{0: 10, 1: 8, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.2, 'e': 0.9677999999999997}",35,16,-114.37468619227758,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 1}",1
8,False,"{'a': 0.2, 'e': 0.9631999999999996}",20,0,-62.05040300108126,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.2, 'e': 0.9585999999999996}",30,0,-57.58155237467193,"{0: 19, 1: 6, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.2, 'e': 0.9539999999999995}",30,0,-207.96105712710855,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
11,False,"{'a': 0.2, 'e': 0.9493999999999995}",20,0,-128.42067945578583,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.2, 'e': 0.9447999999999994}",20,0,-119.28479756575402,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.2, 'e': 0.9401999999999994}",25,0,-97.36294528002884,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.2, 'e': 0.9355999999999993}",20,0,-101.87712635184086,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.2, 'e': 0.9309999999999993}",20,0,-78.91636919975788,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
16,False,"{'a': 0.2, 'e': 0.9263999999999992}",20,0,-160.46877409058436,"{0: 8, 1: 2, 2: 6, 3: 3, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.9217999999999992}",25,0,-91.52554332357131,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.2, 'e': 0.9171999999999991}",30,0,-145.9850198308004,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.2, 'e': 0.9125999999999991}",25,0,-143.73945081209763,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.2, 'e': 0.907999999999999}",20,6,-82.10653083972268,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
21,False,"{'a': 0.2, 'e': 0.903399999999999}",25,0,-130.0508958940212,"{0: 13, 1: 7, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.2, 'e': 0.8987999999999989}",25,0,-145.37657932077875,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
23,False,"{'a': 0.2, 'e': 0.8941999999999989}",20,15,2.4506235706375445,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.2, 'e': 0.8895999999999988}",25,0,-159.9543964091523,"{0: 15, 1: 2, 2: 3, 3: 3, 4: 2}",0
25,False,"{'a': 0.2, 'e': 0.8849999999999988}",20,0,-83.09148373652498,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
26,False,"{'a': 0.2, 'e': 0.8803999999999987}",25,14,-73.84179049540566,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
27,False,"{'a': 0.2, 'e': 0.8757999999999987}",35,0,-216.63691659595358,"{0: 17, 1: 3, 2: 12, 3: 1, 4: 2}",0
28,False,"{'a': 0.2, 'e': 0.8711999999999986}",20,0,-38.28103220057921,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
29,False,"{'a': 0.2, 'e': 0.8665999999999986}",25,0,-40.2907372240408,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
30,False,"{'a': 0.2, 'e': 0.8619999999999985}",20,0,-122.99716515454499,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
31,False,"{'a': 0.2, 'e': 0.8573999999999985}",30,0,-88.62330306489686,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
32,False,"{'a': 0.2, 'e': 0.8527999999999984}",25,0,-107.33614423003382,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
33,False,"{'a': 0.2, 'e': 0.8481999999999984}",20,0,-96.77839024396606,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
34,False,"{'a': 0.2, 'e': 0.8435999999999984}",20,0,-37.71359072934636,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
35,False,"{'a': 0.2, 'e': 0.8389999999999983}",25,0,-204.1157436598825,"{0: 14, 1: 2, 2: 3, 3: 3, 4: 3}",0
36,False,"{'a': 0.2, 'e': 0.8343999999999983}",30,0,-103.31057132152216,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
37,False,"{'a': 0.2, 'e': 0.8297999999999982}",30,17,-77.40183472283748,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
38,False,"{'a': 0.2, 'e': 0.8251999999999982}",20,0,-62.25786321169625,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
39,False,"{'a': 0.2, 'e': 0.8205999999999981}",20,0,-55.88837585229268,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
40,False,"{'a': 0.2, 'e': 0.8159999999999981}",25,0,-114.06463644830343,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
41,False,"{'a': 0.2, 'e': 0.811399999999998}",20,0,-94.89265011955442,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
42,False,"{'a': 0.2, 'e': 0.806799999999998}",20,0,-62.577137291267015,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
43,False,"{'a': 0.2, 'e': 0.8021999999999979}",25,6,-14.164722461156757,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.2, 'e': 0.7975999999999979}",30,0,-132.4713659704769,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
45,False,"{'a': 0.2, 'e': 0.7929999999999978}",30,0,-124.56878343933174,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
46,False,"{'a': 0.2, 'e': 0.7883999999999978}",20,5,-51.50792235724346,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
47,False,"{'a': 0.2, 'e': 0.7837999999999977}",35,0,-281.3467872634219,"{0: 19, 1: 3, 2: 6, 3: 3, 4: 4}",0
48,False,"{'a': 0.2, 'e': 0.7791999999999977}",30,16,-102.61474820699443,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 2}",1
49,False,"{'a': 0.2, 'e': 0.7745999999999976}",20,0,-64.73800013394843,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
50,False,"{'a': 0.2, 'e': 0.7699999999999976}",25,0,-175.14058832526797,"{0: 16, 1: 2, 2: 1, 3: 3, 4: 3}",0
51,False,"{'a': 0.2, 'e': 0.7653999999999975}",30,0,-194.45554968793678,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 3}",0
52,False,"{'a': 0.2, 'e': 0.7607999999999975}",20,0,-67.84548991034472,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
53,False,"{'a': 0.2, 'e': 0.7561999999999974}",20,0,-61.14672313710959,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
54,False,"{'a': 0.2, 'e': 0.7515999999999974}",30,0,-57.477857988166846,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.2, 'e': 0.7469999999999973}",20,0,-35.26520377515788,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
56,False,"{'a': 0.2, 'e': 0.7423999999999973}",25,17,7.040493973673253,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.2, 'e': 0.7377999999999972}",35,0,-168.66306170024265,"{0: 20, 1: 4, 2: 7, 3: 3, 4: 1}",0
58,False,"{'a': 0.2, 'e': 0.7331999999999972}",30,0,-162.3917507387288,"{0: 17, 1: 6, 2: 4, 3: 0, 4: 3}",0
59,False,"{'a': 0.2, 'e': 0.7285999999999971}",30,5,-59.837405099667734,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",1
60,False,"{'a': 0.2, 'e': 0.7239999999999971}",30,7,-61.583805735071095,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 0}",1
61,False,"{'a': 0.2, 'e': 0.719399999999997}",20,0,-102.62715657671441,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
62,False,"{'a': 0.2, 'e': 0.714799999999997}",20,10,-40.460071434893,"{0: 5, 1: 2, 2: 2, 3: 1, 4: 0}",1
63,False,"{'a': 0.2, 'e': 0.710199999999997}",25,0,6.153268380490672,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
64,False,"{'a': 0.2, 'e': 0.7055999999999969}",25,0,-89.88233644778337,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
65,False,"{'a': 0.2, 'e': 0.7009999999999968}",25,0,-97.88936062688465,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
66,False,"{'a': 0.2, 'e': 0.6963999999999968}",20,1,-109.24537669791991,"{0: 10, 1: 1, 2: 4, 3: 4, 4: 0}",1
67,False,"{'a': 0.2, 'e': 0.6917999999999968}",30,7,-1.6144082184169943,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.2, 'e': 0.6871999999999967}",20,0,-97.17637058718468,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
69,False,"{'a': 0.2, 'e': 0.6825999999999967}",25,11,-27.531004308834312,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
70,False,"{'a': 0.2, 'e': 0.6779999999999966}",25,0,-41.438028680176004,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
71,False,"{'a': 0.2, 'e': 0.6733999999999966}",25,0,-120.03008772759173,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",1
72,False,"{'a': 0.2, 'e': 0.6687999999999965}",20,0,-74.55332564047347,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
73,False,"{'a': 0.2, 'e': 0.6641999999999965}",20,2,-81.81247532034574,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 1}",1
74,False,"{'a': 0.2, 'e': 0.6595999999999964}",30,0,-167.27098942205586,"{0: 16, 1: 6, 2: 4, 3: 2, 4: 2}",0
75,False,"{'a': 0.2, 'e': 0.6549999999999964}",20,0,-7.603721484742065,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
76,False,"{'a': 0.2, 'e': 0.6503999999999963}",20,0,-38.71593317377686,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
77,False,"{'a': 0.2, 'e': 0.6457999999999963}",30,22,1.0069140069438902,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.2, 'e': 0.6411999999999962}",20,1,-43.48501241517081,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 0}",1
79,False,"{'a': 0.2, 'e': 0.6365999999999962}",20,0,-58.60716964721983,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
80,False,"{'a': 0.2, 'e': 0.6319999999999961}",30,0,-118.75732388769792,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
81,False,"{'a': 0.2, 'e': 0.6273999999999961}",30,0,-19.877705660694733,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
82,False,"{'a': 0.2, 'e': 0.622799999999996}",20,0,-98.06885531712351,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
83,False,"{'a': 0.2, 'e': 0.618199999999996}",20,1,-51.93168686990797,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 0}",1
84,False,"{'a': 0.2, 'e': 0.6135999999999959}",20,6,-99.15816045729387,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
85,False,"{'a': 0.2, 'e': 0.6089999999999959}",20,0,-3.3719978886448523,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
86,False,"{'a': 0.2, 'e': 0.6043999999999958}",20,0,-12.103355254018082,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
87,False,"{'a': 0.2, 'e': 0.5997999999999958}",25,0,-33.35246351823647,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
88,False,"{'a': 0.2, 'e': 0.5951999999999957}",20,5,-41.98522684862202,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
89,False,"{'a': 0.2, 'e': 0.5905999999999957}",30,16,-63.881445693060726,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
90,False,"{'a': 0.2, 'e': 0.5859999999999956}",25,0,-168.3882686234843,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
91,False,"{'a': 0.2, 'e': 0.5813999999999956}",30,1,-113.37522997152209,"{0: 20, 1: 2, 2: 3, 3: 3, 4: 1}",1
92,False,"{'a': 0.2, 'e': 0.5767999999999955}",25,0,-63.38139582925033,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
93,False,"{'a': 0.2, 'e': 0.5721999999999955}",25,2,-122.5894474318737,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 2}",1
94,False,"{'a': 0.2, 'e': 0.5675999999999954}",20,0,-63.16267001015233,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
