trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.35810713608024,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.33989680378517,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.73415480296242,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.10356655821313,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.39017208006354,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.79484162719757,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,23,-56.61213701919423,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-103.73431041406057,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.60918185242188,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,6,-147.97156330639265,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 3}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,13,7.495623980668237,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",30,15,-35.473289519912726,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.66760567600312,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.869317802608,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.42388587122954,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.91471612670021,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-203.58501739579802,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.6153088818476,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-118.88885809307907,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.323419719942805,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-226.07191644206404,"{0: 13, 1: 0, 2: 6, 3: 3, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-179.76841630499754,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.48639400089276,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-78.18323170790292,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-182.8156094278344,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,10,3.4929083305751467,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-59.18222814296883,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-115.92359893882838,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,3,-148.29886460914489,"{0: 18, 1: 4, 2: 7, 3: 2, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-109.48189033431063,"{0: 16, 1: 4, 2: 8, 3: 2, 4: 0}",0
