('left', 'green', 'forward', 'left')
('right', 'red', None, 'forward')
('right', 'green', 'forward', 'right')
('forward', 'green', 'right', None)
('left', 'red', 'right', 'left')
('right', 'green', 'forward', 'forward')
('right', 'green', 'right', 'forward')
('left', 'red', 'right', 'right')
('left', 'green', 'left', 'left')
('forward', 'red', 'right', 'right')
('right', 'green', 'left', 'right')
('forward', 'green', 'left', None)
('right', 'green', 'right', None)
('left', 'green', None, None)
('right', 'red', None, 'right')
('left', 'red', 'left', 'forward')
('right', 'red', 'right', 'left')
('left', 'green', 'left', 'forward')
('right', 'red', 'left', 'forward')
('forward', 'red', 'right', 'left')
('left', 'red', 'left', None)
('right', 'red', 'right', 'forward')
('left', 'green', 'right', 'right')
('forward', 'green', 'right', 'right')
('right', 'red', 'left', None)
('left', 'red', 'forward', None)
('right', 'green', None, 'right')
('left', 'green', 'forward', 'right')
('forward', 'red', 'left', 'left')
('left', 'red', 'right', 'forward')
('forward', 'red', None, 'left')
('right', 'red', None, 'left')
('forward', 'red', None, 'right')
('left', 'green', 'right', 'left')
('forward', 'green', 'right', 'forward')
('left', 'green', None, 'forward')
('right', 'green', 'left', 'left')
('left', 'red', 'left', 'left')
('right', 'red', 'left', 'right')
('forward', 'red', 'forward', 'forward')
('left', 'red', 'forward', 'right')
('right', 'green', 'forward', 'left')
('forward', 'red', 'forward', 'left')
('forward', 'green', 'forward', 'right')
('forward', 'red', None, None)
('forward', 'green', None, 'left')
('forward', 'red', 'right', 'forward')
('forward', 'red', None, 'forward')
('forward', 'green', 'forward', 'forward')
('right', 'green', 'left', None)
('forward', 'green', 'left', 'right')
('left', 'red', 'right', None)
('forward', 'red', 'forward', 'right')
('forward', 'red', 'left', 'right')
('forward', 'green', 'forward', None)
('forward', 'red', 'left', None)
('forward', 'green', None, None)
('right', 'green', 'right', 'left')
('left', 'green', 'right', 'forward')
('left', 'red', None, 'right')
('forward', 'green', None, 'forward')
('forward', 'red', 'left', 'forward')
('forward', 'green', 'left', 'forward')
('right', 'red', 'forward', 'forward')
('forward', 'red', 'right', None)
('forward', 'green', None, 'right')
('right', 'red', 'forward', 'left')
('right', 'green', None, None)
('forward', 'green', 'forward', 'left')
('right', 'green', 'left', 'forward')
('left', 'red', 'forward', 'left')
('left', 'green', 'left', None)
('forward', 'green', 'left', 'left')
('left', 'green', None, 'left')
('right', 'green', 'forward', None)
('left', 'green', 'left', 'right')
('right', 'red', 'left', 'left')
('left', 'red', 'left', 'right')
('left', 'red', 'forward', 'forward')
('right', 'red', None, None)
('left', 'red', None, 'left')
('right', 'green', 'right', 'right')
('right', 'red', 'forward', None)
('left', 'green', 'forward', None)
('right', 'green', None, 'left')
('forward', 'green', 'right', 'left')
('left', 'green', 'right', None)
('right', 'red', 'forward', 'right')
('left', 'green', 'forward', 'forward')
('right', 'green', None, 'forward')
('forward', 'red', 'forward', None)
('left', 'red', None, 'forward')
('right', 'red', 'right', 'right')
('left', 'green', None, 'right')
('right', 'red', 'right', None)
('left', 'red', None, None)
